year	country	gov_right1	gov_cent1	gov_left1	gov_party	elect	vturn	womenpar	realgdpgr	inflation	debt_hist	deficit	ttl_labf	labfopar	unemp	pop	pop15_64	pop65	elderly
1960	Australia	100.00	0.00	0.00	1		95.5	0.0		3.73	40.15	0.46	4215.00		1.25	10275.00	6296.50	874.90	8.51
1961	Australia	100.00	0.00	0.00	1	09/12/1961	95.3	0.0	-0.64	2.29	38.62	-0.36	4286.00		2.46	10508.20	6428.60	894.60	8.51
1962	Australia	100.00	0.00	0.00	1		95.3	0.0	5.77	-0.32	38.75	-0.79	4382.00		2.32	10700.50	6571.50	913.60	8.54
1963	Australia	100.00	0.00	0.00	1	30/11/1963	95.7	0.0	6.01	0.64	37.34	-0.51	4484.00		1.87	10906.90	6710.90	933.00	8.55
1964	Australia	100.00	0.00	0.00	1		95.7	0.0	6.26	2.87	35.31	-0.08	4610.80	67.24	1.45	11121.60	6857.30	948.10	8.52
1965	Australia	100.00	0.00	0.00	1		95.7	0.0	4.99	3.41	53.99	-0.73	4745.95	67.66	1.36	11340.90	7014.60	966.30	8.52
1966	Australia	100.00	0.00	0.00	1	26/11/1966	95.1	0.8	2.93	3.29	52.51	-1.81	4930.63	68.54	1.69	11599.50	7193.52	986.27	8.50
1967	Australia	100.00	0.00	0.00	1		95.1	0.8	7.19	3.48	49.96	-1.81	5100.53	69.45	1.82	11799.08	7344.23	999.60	8.47
1968	Australia	100.00	0.00	0.00	1		95.1	0.8	5.30	2.52	48.69	-1.35	5222.05	69.55	1.65	12008.63	7508.21	1014.01	8.44
1969	Australia	100.00	0.00	0.00	1	25/10/1969	95.0	0.0	6.25	3.28	45.50	-0.15	5367.73	69.80	1.57	12263.01	7689.76	1026.69	8.37
1970	Australia	100.00	0.00	0.00	1		95.0	0.0	6.95	3.44	43.21	-0.07	5562.05	70.78	1.49	12507.35	7857.98	1043.75	8.35
1971	Australia	100.00	0.00	0.00	1		95.0	0.0	3.86	6.14	39.89	-0.49	5707.93	69.36	1.74	13067.26	8229.62	1090.37	8.34
1972	Australia	96.45	0.00	3.55	2	02/12/1972	95.4	0.0	2.29	6.02	37.85	-0.89	5833.48	69.51	2.62	13303.66	8392.63	1118.31	8.41
1973	Australia	0.00	0.00	100.00	5		95.4	0.0	4.36	9.09	33.78	-0.18	5974.30	69.93	1.89	13504.54	8543.09	1148.69	8.51
1974	Australia	0.00	0.00	100.00	5	18/05/1974	95.4	0.8	1.61	15.42	29.31	-1.00	6119.78	70.20	2.46	13722.57	8717.15	1181.16	8.61
1975	Australia	13.70	0.00	86.30	4	13/12/1975	95.4	0.0	2.42	15.16	29.19	-2.91	6237.83	70.39	4.77	13893.00	8861.80	1211.57	8.72
1976	Australia	100.00	0.00	0.00	1		95.4	0.0	3.89	13.32	28.42	-3.02	6313.03	70.20	4.95	14033.08	8993.16	1252.83	8.93
1977	Australia	100.00	0.00	0.00	1	10/12/1977	95.0	0.0	1.48	12.31	27.40	-3.51	6428.10	70.32	5.91	14192.23	9141.01	1287.58	9.07
1978	Australia	100.00	0.00	0.00	1		95.0	0.0	2.01	8.00	28.55	-4.18	6466.35	69.61	6.50	14359.25	9289.38	1326.81	9.24
1979	Australia	100.00	0.00	0.00	1		95.0	0.0	4.62	9.12	29.19	-2.88	6589.04	69.89	6.12	14515.73	9427.57	1369.73	9.44
1980	Australia	100.00	0.00	0.00	1	18/10/1980	94.4	2.4	2.73	10.14	27.15	-2.28	6764.88	70.68	6.19	14695.36	9571.09	1413.28	9.62
1981	Australia	100.00	0.00	0.00	1		94.4	2.4	4.18	9.49	24.09	-2.69	6881.34	70.63	5.88	14923.26	9742.72	1455.00	9.75
1982	Australia	100.00	0.00	0.00	1		94.4	2.4	-0.35	11.35	22.18	-3.74	6980.82	70.23	7.05	15184.25	9940.49	1498.77	9.87
1983	Australia	18.90	0.00	81.10	4	05/03/1983	94.6	4.8	-0.16	10.04	24.09	-4.92	7068.41	69.94	10.35	15393.47	10106.71	1535.76	9.98
1984	Australia	0.00	0.00	100.00	5	01/12/1984	94.2	5.4	6.52	3.96	26.00	-4.87	7205.07	70.16	8.92	15579.39	10269.80	1573.79	10.10
1985	Australia	0.00	0.00	100.00	5		94.2	5.4	5.11	6.73	28.04	-4.89	7369.29	70.58	8.26	15788.31	10441.74	1621.03	10.27
1986	Australia	0.00	0.00	100.00	5		94.2	5.4	1.94	9.05	29.82	-4.13	7656.61	71.98	8.08	16018.35	10636.72	1682.11	10.50
1987	Australia	0.00	0.00	100.00	5	11/07/1987	93.8	6.1	5.26	8.53	28.17	-2.38	7825.60	72.21	8.11	16263.87	10837.24	1739.29	10.69
1988	Australia	0.00	0.00	100.00	5		93.8	6.1	4.53	7.22	31.61	-0.72	8043.46	72.85	7.23	16532.16	11041.75	1791.38	10.84
1989	Australia	0.00	0.00	100.00	5		93.8	6.1	4.23	7.53	25.04	0.61	8296.84	73.80	6.17	16814.42	11243.00	1846.50	10.98
1990	Australia	0.00	0.00	100.00	5	24/03/1990	95.3	6.8	1.38	7.33	24.94	-0.32	8511.62	74.55	6.93	17065.13	11416.75	1893.38	11.10
1991	Australia	0.00	0.00	100.00	5		95.3	6.8	-1.32	3.18	30.90	-2.89	8551.16	74.05	9.58	17284.04	11547.79	1950.72	11.29
1992	Australia	0.00	0.00	100.00	5		95.3	6.8	2.98	1.01	35.04	-4.46	8618.93	73.89	10.73	17479.00	11664.00	2002.00	11.45
1993	Australia	0.00	0.00	100.00	5	13/03/1993	95.8	8.8	4.18	1.75	40.61	-2.80	8650.14	73.61	10.87	17635.00	11751.00	2053.00	11.64
1994	Australia	0.00	0.00	100.00	5		95.8	8.8	4.60	1.97	40.41	-2.41	8809.63	74.31	9.72	17805.00	11855.00	2100.00	11.79
1995	Australia	0.00	0.00	100.00	5		95.8	9.5	3.54	4.63	41.86	-1.68	9003.52	75.12	8.47	18005.00	11986.00	2143.00	11.90
1996	Australia	80.87	0.00	19.13	2	02/03/1996	95.8	15.5	3.93	2.62	39.45	-0.44	9127.64	75.20	8.51	18225.00	12138.00	2192.00	12.03
1997	Australia	100.00	0.00	0.00	1		95.8	15.5	3.89	0.22	37.04	0.88	9187.74	74.83	8.36	18423.00	12278.00	2237.00	12.14
1998	Australia	100.00	0.00	0.00	1	03/10/1998	95.0	22.4	4.93	0.86	33.61	2.53	9281.54	74.77	7.68	18608.00	12413.00	2279.00	12.25
1999	Australia	100.00	0.00	0.00	1		95.0	22.4	4.09	1.48	27.19	2.60	9366.43	74.57	6.87	18812.00	12561.00	2322.00	12.34
2000	Australia	100.00	0.00	0.00	1		95.0	22.4	3.50	4.46	25.14	1.50	9549.38	75.07	6.28	19029.00	12721.00	2364.00	12.42
2001	Australia	100.00	0.00	0.00	1	10/11/2001	94.9	25.3	2.52	4.41	24.22	0.03	9716.56	75.35	6.74	19275.00	12895.00	2419.00	12.55
2002	Australia	100.00	0.00	0.00	1		94.9	25.3	3.98	2.98	22.87	1.57	9865.53	75.51	6.37	19495.00	13065.00	2466.00	12.65
