ID,UTMX,UTMY,Genus
1,372386.8471,9929644.599,Alouatta
2,371689.9541,9929912.296,Alouatta
3,371668.6124,9929961.989,Alouatta
4,372269.3671,9929548.636,Alouatta
5,372312.0875,9929524.991,Alouatta
6,372299.9699,9929513.729,Alouatta
7,372211.8014,9929118.897,Alouatta
8,372389.8934,9929257.485,Alouatta
9,372276.6406,9929674.384,Alouatta
10,371664.6176,9929980.01,Alouatta
11,372190.8314,9929497.847,Alouatta
12,372219.9619,9929508.45,Alouatta
13,372150.7468,9929446.188,Alouatta
14,372256.9444,9929258.727,Alouatta
15,372338.504,9929733.654,Alouatta
16,372457.0722,9929507.187,Alouatta
17,372239.4013,9929147.872,Alouatta
18,372017.2464,9930092.181,Alouatta
19,372121.0766,9929955.325,Alouatta
20,372309.0369,9929489.622,Alouatta
21,372051.6576,9929803.562,Alouatta
22,372009.2075,9929794.482,Alouatta
23,372328.2117,9929762.319,Alouatta
24,372125.6414,9929960.668,Alouatta
25,372274.0123,9929675.609,Alouatta
26,372165.4606,9929080.352,Alouatta
27,372434.2447,9929497.539,Alouatta
28,372247.9503,9929137.684,Alouatta
29,372216.5897,9929692.097,Alouatta
30,372058.7155,9929724.681,Alouatta
31,372325.9307,9929512.531,Alouatta
32,371677.9101,9930030.638,Alouatta
33,371490.8561,9929974.576,Alouatta
34,372291.7047,9929649.863,Alouatta
35,372170.0089,9929172.879,Alouatta
36,372029.3843,9929874.265,Alouatta
37,372358.7047,9929477.741,Alouatta
38,372191.1302,9929076.4,Alouatta
39,372313.5277,9929622.832,Alouatta
40,372159.9714,9929177.777,Alouatta
41,372022.8801,9929892.381,Alouatta
42,372150.1722,9929113.507,Alouatta
43,372167.8799,9929105.662,Alouatta
44,372050.5551,9929987.995,Alouatta
45,372174.32,9929081.578,Alouatta
46,372043.3181,9930028.48,Alouatta
47,372426.3584,9929454.952,Alouatta
48,372177.2289,9929067.93,Alouatta
49,372061.0562,9930021.671,Alouatta
50,372153.6579,9929101.396,Alouatta
51,372480.9899,9929440.867,Alouatta
52,372233.2666,9929540.914,Alouatta
53,372223.2859,9929476.824,Alouatta
54,372368.0133,9929491.039,Alouatta
55,372259.7875,9929273.354,Alouatta
56,372331.3391,9929755.612,Alouatta
57,372379.2601,9929559.513,Alouatta
58,372389.7143,9929537.317,Alouatta
59,372242.5765,9929152.131,Alouatta
60,372017.2464,9930092.181,Alouatta
61,371994.4855,9929794.925,Alouatta
62,372359.0913,9929522.564,Alouatta
63,372022.1465,9929775.585,Alouatta
64,372071.459,9929779.786,Alouatta
65,372336.6967,9929735.618,Alouatta
66,372051.3979,9929897.49,Alouatta
67,372131.9469,9929596.855,Alouatta
68,372375.5621,9929198.299,Alouatta
69,372410.5402,9929493.785,Alouatta
70,372263.6057,9929111.956,Alouatta
71,372208.7858,9929794.258,Alouatta
72,372367.4759,9929506.43,Alouatta
73,371640.0685,9930015.07,Alouatta
74,371501.0558,9929990.288,Alouatta
75,372240.6418,9929535.105,Alouatta
76,372154.2522,9929470.543,Alouatta
77,372228.437,9929795.695,Alouatta
78,372361.1368,9929563.697,Alouatta
79,372376.3245,9929516.593,Alouatta
80,372271.9048,9929149.886,Alouatta
81,371975.0031,9929808.066,Alouatta
82,372012.5385,9929774.114,Alouatta
83,372299.2757,9929531.226,Alouatta
84,372016.6846,9929791.307,Alouatta
85,372070.7085,9929736.792,Alouatta
86,372343.887,9929732.111,Alouatta
87,372001.1734,9929863.19,Alouatta
88,372125.9453,9929590.42,Alouatta
89,372379.3262,9929304.323,Alouatta
90,372300.5182,9929534.109,Alouatta
91,372186.7796,9929749.139,Alouatta
92,372377.07,9929545.685,Alouatta
93,371536.8522,9929947.476,Alouatta
94,371638.2386,9930039.355,Alouatta
95,372250.5077,9929542.952,Alouatta
96,372164.003,9929484.469,Alouatta
97,372221.409,9929790.399,Alouatta
98,372239.4013,9929147.872,Alouatta
99,372063.1351,9929996.164,Alouatta
100,372063.1351,9929996.164,Alouatta
101,372203.5805,9929758.839,Alouatta
102,372017.275,9929795.124,Alouatta
103,372053.2184,9929723.612,Alouatta
104,372422.1166,9929539.835,Alouatta
105,371967.7969,9929813.384,Alouatta
106,372143.5802,9929410.703,Alouatta
107,372411.8987,9929482.147,Alouatta
108,372310.1459,9929535.291,Alouatta
109,372157.0716,9929707.363,Alouatta
110,371496.7367,9929971.58,Alouatta
111,372161.9655,9929509.255,Alouatta
112,372365.8,9929301.41,Alouatta
113,372041.3721,9929756.097,Alouatta
114,372269.7558,9929123.523,Alouatta
115,372011.1437,9930070.845,Alouatta
116,372225.3862,9929678.312,Alouatta
117,371989.2272,9929796.306,Alouatta
118,372094.8983,9929774.505,Alouatta
119,372302.9631,9929715.06,Alouatta
120,372003.8431,9929798.458,Alouatta
121,372149.2806,9929318.821,Alouatta
122,372453.127,9929490.161,Alouatta
123,372379.7773,9929499.627,Alouatta
124,372158.0129,9929718.122,Alouatta
125,371470.1588,9929993.877,Alouatta
126,372311.0939,9929513.634,Alouatta
127,372302.6333,9929523.324,Alouatta
128,372004.3361,9929782.317,Alouatta
129,372220.2855,9929318.872,Alouatta
130,372239.7731,9929044.811,Alouatta
131,372210.3325,9929653.497,Alouatta
132,371997.7778,9929808.739,Alouatta
133,371997.7778,9929808.739,Alouatta
134,372112.3982,9929781.245,Alouatta
135,372416.6884,9929505.562,Alouatta
136,372023.1933,9929791.776,Alouatta
137,372208.285,9929196.646,Alouatta
138,372454.5892,9929496.494,Alouatta
139,372414.0634,9929518.475,Alouatta
140,372316.781,9929524.745,Alouatta
141,372269.2423,9929561.604,Alouatta
142,372354.453,9929748.381,Alouatta
143,372194.8525,9929248.194,Alouatta
144,372316.2303,9929038.338,Alouatta
145,371978.8996,9929805.77,Alouatta
146,372214.0759,9929801.54,Alouatta
147,372371.2004,9929656.339,Alouatta
148,372047.459,9929779.786,Alouatta
149,372195.4514,9929147.216,Alouatta
150,372431.0575,9929612.363,Alouatta
151,372315.8324,9929445.782,Alouatta
152,372249.0774,9929587.281,Alouatta
153,372192.4184,9929255.784,Alouatta
154,372344.2918,9929006.967,Alouatta
155,371980.2933,9929809.8,Alouatta
156,371980.2933,9929809.8,Alouatta
157,372039.4111,9929733.683,Alouatta
158,372385.3736,9929652.053,Alouatta
159,372189.9806,9929726.363,Alouatta
160,372186.9658,9929135.955,Alouatta
161,372265.8331,9929608.638,Alouatta
162,372198.5536,9929200.563,Alouatta
163,372316.2303,9929008.438,Alouatta
164,371997.4557,9929868.878,Alouatta
165,372247.7195,9929149.041,Alouatta
166,372327.4039,9929325.301,Alouatta
167,372164.003,9929499.669,Alouatta
168,372368,9929491.3,Alouatta
169,372331.5778,9929705.61,Alouatta
170,372334.5743,9929457.493,Alouatta
171,372380.0471,9929644.599,Alouatta
172,372183.2854,9929801.091,Alouatta
173,372018.5684,9930093.738,Alouatta
174,372336.0942,9929542.315,Alouatta
175,371894.6143,9930117.5,Alouatta
176,372061.0562,9930021.671,Alouatta
177,372052.6581,9929725.073,Alouatta
178,372480.9899,9929440.867,Alouatta
179,372166.087,9929741.571,Alouatta
180,372149.035,9929111.919,Alouatta
