Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Allenopithecus_nigroviridis,Cercopithecidae,Allenopithecus,nigroviridis,58.02,53.70,Isler et al 2008,6130.0,3180.0,1.928,Isler et al 2008,,,,,,,,106.15,276,1.01,Jones et al. 2009,-0.17,1574.0,25.2,1517.8,1589.4,Jones et al. 2009,,,,,,,,,,2.210,Plavcan & Ruff 2008,,,,,
Allocebus_trichotis,Cercopithecidae,Allocebus,trichotis,,,,92.0,84.0,1.095,Smith and Jungers 1997,1,1,1,,Kappeler 1997,,,,,1,,-16.59,1902.3,20.3,1388.2,1653.7,Jones et al. 2009,,,,,,,,,,,,,,,,
Alouatta_belzebul,Atelidae,Alouatta,belzebul,52.84,51.19,Isler et al 2008,7270.0,5520.0,1.317,Isler et al 2008,7,1,1,1.00,Campbell et al 2007,,,,,,,-6.8,1643.5,24.9,1286.6,1549.8,Jones et al. 2009,,,,,,57.3,19.1,0.0,Campbell et al. 2007,1.811,Plavcan & Ruff 2008,13.75,18.75,57.30,10.00,Campbell et al. 2007
Alouatta_caraya,Atelidae,Alouatta,caraya,52.63,47.80,Isler et al 2008,6525.0,4240.0,1.539,Isler et al 2008,8,2.3,3.3,1.43,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,337.62,187,323.16,243.6,1.01,Jones et al. 2009,-20.34,1166.4,22.9,1193.1,1404.9,Jones et al. 2009,,,0.4,Nunn et al. 2003,,23.8,67.7,0.0,Campbell et al. 2007,1.542,Plavcan & Ruff 2008,15.90,17.60,61.60,4.90,Campbell et al. 2007
Alouatta_guariba,Atelidae,Alouatta,guariba,51.70,49.08,Isler et al 2008,5800.0,4550.0,1.275,Isler et al 2008,6.53,1.37,2.2,1.61,Campbell et al 2007,,,,,,,-21.13,1332.3,19.6,1225.7,1332.2,Jones et al. 2009,0.030,Jones et al. 2009,,,,5.2,73.0,0.0,Campbell et al. 2007,1.783,Plavcan & Ruff 2008,18.33,14.33,64.37,3.00,Campbell et al. 2007
Alouatta_palliata,Atelidae,Alouatta,palliata,49.88,48.04,Isler et al 2008,7150.0,5350.0,1.336,Isler et al 2008,12,2.9,6.3,2.17,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,684.37,186,495.6,300,1.02,Jones et al. 2009,6.95,1852.6,23.7,1300.0,1633.9,Jones et al. 2009,0.190,Jones et al. 2009,0.32,Nunn et al. 2003,0.6506,33.1,56.4,0.0,Campbell et al. 2007,1.703,Plavcan & Ruff 2008,17.94,12.32,66.14,3.64,Campbell et al. 2007
Alouatta_pigra,Atelidae,Alouatta,pigra,51.13,48.75,Isler et al 2008,11400.0,6430.0,1.773,Isler et al 2008,6.6,1.925,2.175,1.13,Campbell et al 2007,,187,,240,1.01,Jones et al. 2009,18.8,1341.3,25.1,1373.8,1580.8,Jones et al. 2009,0.300,Jones et al. 2009,,,,40.8,45.1,0.0,Campbell et al. 2007,1.109,Plavcan & Ruff 2008,24.40,9.80,61.90,3.80,Campbell et al. 2007
Alouatta_seniculus,Atelidae,Alouatta,seniculus,55.22,54.26,Isler et al 2008,6690.0,5210.0,1.284,Isler et al 2008,7.1,1.7,2.2,1.29,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,507.35,190,370.04,300,1.42,Jones et al. 2009,0.68,1823.4,25.1,1449.8,1574.9,Jones et al. 2009,0.100,Jones et al. 2009,0.55,Nunn et al. 2003,1.5414,40.0,48.1,0.0,Campbell et al. 2007,1.464,Plavcan & Ruff 2008,12.70,6.20,78.50,2.50,Campbell et al. 2007
Aotus_azarai,Cebidae,Aotus,azarai,20.67,20.69,Isler et al 2008,1180.0,1230.0,0.959,Isler et al 2008,3.1,1,1,1.00,Garber et al. 2008,365,,229.69,360,1,Jones et al. 2009,-17.05,1010.9,24.6,1186.2,1410.8,Jones et al. 2009,0.095,Campbell et al. 2007,,,,45.0,41.0,,Campbell et al. 2007,,,,,,,
Aotus_brumbacki,Cebidae,Aotus,brumbacki,,,,,,,,3,1,1,1.00,Garber et al. 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
