Obs Sample ID,Date,Month,Group,UTMX,UTMY
OS92719,4-Jul-14,7,Callicebus L,371667.0208,9929337.604
OS92719,4-Jul-14,7,Callicebus L,371647.7483,9929378.488
OS92719,4-Jul-14,7,Callicebus B,371664.0957,9929522.988
OS92719,4-Jul-14,7,Callicebus B,371747.4544,9929529.446
OS92719,4-Jul-14,7,Callicebus B,371711.7574,9929541.629
OS92719,4-Jul-14,7,Callicebus B,371700.1463,9929542.171
OS92719,4-Jul-14,7,Callicebus B,371707.139,9929545.672
OS92719,4-Jul-14,7,Callicebus B,371762.9199,9929571.955
OS92719,4-Jul-14,7,Callicebus K,371939.121,9929581.9
OS92720,5-Jul-14,7,Callicebus K,371909.7453,9929434.852
OS92720,5-Jul-14,7,Callicebus K,371919.3513,9929437.633
OS92720,5-Jul-14,7,Callicebus K,371917.8888,9929448.166
OS92720,5-Jul-14,7,Callicebus K,371956.07,9929459.797
OS92720,5-Jul-14,7,Callicebus K,371954.6317,9929491.52
OS92722,7-Jul-14,7,Callicebus K,371906.6302,9929464.883
OS92722,7-Jul-14,7,Callicebus K,371939.2488,9929472.881
OS92722,7-Jul-14,7,Callicebus K,372001.706,9929479.206
OS92722,7-Jul-14,7,Callicebus K,371915.3628,9929481.49
OS92722,7-Jul-14,7,Callicebus K,371929.6804,9929486.167
OS92724,9-Jul-14,7,Callicebus B,371857.9919,9929394.615
OS92724,9-Jul-14,7,Callicebus B,371824.3499,9929399.151
OS92724,9-Jul-14,7,Callicebus B,371810.2246,9929400.495
OS92724,9-Jul-14,7,Callicebus B,371808.0012,9929404.448
OS92724,9-Jul-14,7,Callicebus B,371816.2762,9929406.797
OS92724,9-Jul-14,7,Callicebus B,371909.998,9929419.496
OS92724,9-Jul-14,7,Callicebus B,371784.2303,9929420.574
OS92724,9-Jul-14,7,Callicebus B,371693.725,9929422.114
OS92724,9-Jul-14,7,Callicebus B,371867.1432,9929424.688
OS92724,9-Jul-14,7,Callicebus B,371800.59,9929433.61
OS92724,9-Jul-14,7,Callicebus B,371800.59,9929433.61
OS92724,9-Jul-14,7,Callicebus B,371668.5435,9929440.594
OS92724,9-Jul-14,7,Callicebus B,371846.1835,9929450.965
OS92724,9-Jul-14,7,Callicebus B,371897.3571,9929451.451
OS92724,9-Jul-14,7,Callicebus B,371707.9562,9929454.689
OS92724,9-Jul-14,7,Callicebus B,371711.0486,9929466.609
OS92724,9-Jul-14,7,Callicebus B,371659.5698,9929467.12
OS92724,9-Jul-14,7,Callicebus B,371658.309,9929476.552
OS92724,9-Jul-14,7,Callicebus B,371712.7278,9929477.019
OS92724,9-Jul-14,7,Callicebus B,371874.28,9929480.685
OS92724,9-Jul-14,7,Callicebus B,371656.2489,9929481.783
OS92724,9-Jul-14,7,Callicebus B,371877.56,9929498.19
OS92724,9-Jul-14,7,Callicebus B,371687.5918,9929511.356
OS92724,9-Jul-14,7,Callicebus B,371669.3267,9929511.461
OS92724,9-Jul-14,7,Callicebus B,371713.8635,9929519.614
OS92724,9-Jul-14,7,Callicebus B,371700.1479,9929519.953
OS92724,9-Jul-14,7,Callicebus B,371718.6021,9929520.085
OS92724,9-Jul-14,7,Callicebus B,371679.5743,9929521.52
OS92724,9-Jul-14,7,Callicebus B,371712.8831,9929524.037
OS92724,9-Jul-14,7,Callicebus B,371692.6599,9929531.658
OS92724,9-Jul-14,7,Callicebus B,371696.5015,9929541.988
OS92725,10-Jul-14,7,Callicebus B,371708.6711,9929378.659
OS92725,10-Jul-14,7,Callicebus B,371678.6685,9929387.038
OS92725,10-Jul-14,7,Callicebus B,371701.2,9929388.06
OS92725,10-Jul-14,7,Callicebus B,371701.2,9929388.06
OS92725,10-Jul-14,7,Callicebus B,371674.4724,9929389.226
OS92725,10-Jul-14,7,Callicebus B,371679.5654,9929392.657
OS92725,10-Jul-14,7,Callicebus B,371891.8289,9929393.503
OS92725,10-Jul-14,7,Callicebus B,371754.0933,9929394.667
OS92725,10-Jul-14,7,Callicebus B,371832.8866,9929395.728
OS92725,10-Jul-14,7,Callicebus B,371740.311,9929398.63
