row,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",FALSE,163862,NA,11/11/16 17:28,FALSE,NA,7.97E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,52646,FALSE,FALSE,NA,NA
2,"Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",FALSE,154467,NA,11/8/16 15:57,FALSE,NA,7.96E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,59667,FALSE,FALSE,NA,NA
3,"It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",FALSE,24691,NA,11/3/16 23:34,FALSE,NA,7.94E+17,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",POTUS,6161,FALSE,FALSE,NA,NA
4,It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?,FALSE,271955,NA,11/3/16 6:03,FALSE,NA,7.94E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,74846,FALSE,FALSE,NA,NA
5,"I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",FALSE,82344,NA,10/23/16 17:01,FALSE,NA,7.90E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,20888,FALSE,FALSE,NA,NA
6,Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Tha... https://t.co/pLBZQWDFin,FALSE,63170,NA,10/21/16 22:44,TRUE,NA,7.90E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,13166,FALSE,FALSE,NA,NA
7,Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.,FALSE,87722,NA,10/20/16 13:31,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,21910,FALSE,FALSE,NA,NA
8,"For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending ca... https://t.co/OPPnQIJDl2",FALSE,23874,NA,10/17/16 19:26,TRUE,NA,7.88E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,6385,FALSE,FALSE,NA,NA
9,"For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",FALSE,106695,NA,10/16/16 14:30,FALSE,NA,7.88E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,36203,FALSE,FALSE,NA,NA
10,"Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS",FALSE,44798,NA,10/14/16 21:46,FALSE,NA,7.87E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,16360,FALSE,FALSE,NA,NA
11,"Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS",FALSE,32894,NA,10/13/16 16:05,FALSE,NA,7.87E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,11651,FALSE,FALSE,NA,NA
12,"Now this was fun. Artificial intelligence, space travel!hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08",FALSE,26224,NA,10/12/16 17:16,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,7760,FALSE,FALSE,NA,NA
13,"On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility.",FALSE,61738,NA,10/11/16 16:58,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,25640,FALSE,FALSE,NA,NA
14,"Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans.",FALSE,100848,NA,10/10/16 16:06,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,27235,FALSE,FALSE,NA,NA
15,Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG,FALSE,55998,NA,10/7/16 21:40,FALSE,NA,7.85E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS,16756,FALSE,FALSE,NA,NA
16,"Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s",FALSE,28286,NA,10/6/16 23:17,FALSE,NA,7.84E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,11055,FALSE,FALSE,NA,NA
17,Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.,FALSE,42086,NA,10/5/16 20:52,FALSE,NA,7.84E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,11383,FALSE,FALSE,NA,NA
18,Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP,FALSE,16032,NA,10/3/16 15:49,FALSE,NA,7.83E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,5457,FALSE,FALSE,NA,NA
19,What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.,FALSE,20687,NA,10/3/16 2:00,FALSE,NA,7.83E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,3947,FALSE,FALSE,NA,NA
20,"Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi & the Indian people carry on that legacy.",FALSE,38573,NA,10/2/16 14:54,FALSE,NA,7.83E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,15680,FALSE,FALSE,NA,NA
21,Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK,FALSE,17638,NA,10/1/16 14:00,FALSE,NA,7.82E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS,5205,FALSE,FALSE,NA,NA
22,"Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",FALSE,23188,NA,9/29/16 23:38,FALSE,NA,7.82E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,4133,FALSE,FALSE,NA,NA
23,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,FALSE,98714,NA,9/27/16 23:04,FALSE,NA,7.81E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS,25327,FALSE,FALSE,NA,NA
