id,weight,sex
1,7.24,male
2,6.09,male
3,6.97,male
4,6.98,male
5,6.08,male
6,6.22,male
7,6.53,male
8,6.73,male
9,6.26,male
10,6.35,male
11,7.46,male
12,5.8,male
13,6.66,male
14,6.43,male
15,7.61,male
16,6.97,male
17,7.04,male
18,6.58,male
19,6.65,male
20,7.13,male
21,5.19,female
22,5.04,female
23,4.83,female
24,5.9,female
25,5.48,female
26,5.42,female
27,5.27,female
28,5.29,female
29,5.62,female
30,5.47,female
31,5.14,female
32,5.12,female
33,5.11,female
34,5.19,female
35,4.75,female
36,4.95,female
37,5.1,female
38,5.67,female
39,4.92,female
40,5.34,female
