Taxon,UTMX,UTMY
Ateles belzebuth,370080,9930910
Ateles belzebuth,370085,9930916
Ateles belzebuth,370105,9929864
Ateles belzebuth,370125,9929892
Ateles belzebuth,370129,9930521
Ateles belzebuth,370133,9930906
Ateles belzebuth,370141,9930059
Ateles belzebuth,370155,9930441
Ateles belzebuth,370159,9929920
Ateles belzebuth,370163,9930124
Ateles belzebuth,370163,9929949
Ateles belzebuth,370166,9930644
Ateles belzebuth,370166,9930646
Ateles belzebuth,370172,9929922
Ateles belzebuth,370175,9929854
Ateles belzebuth,370179,9929954
Ateles belzebuth,370180,9930323
Ateles belzebuth,370184,9930456
Ateles belzebuth,370188,9930081
Ateles belzebuth,370189,9930321
Ateles belzebuth,370189,9930011
Ateles belzebuth,370206,9930426
Ateles belzebuth,370208,9930347
Ateles belzebuth,370211,9930352
Ateles belzebuth,370222,9929927
Ateles belzebuth,370228,9930247
Ateles belzebuth,370233,9930313
Ateles belzebuth,370247,9929903
Ateles belzebuth,370248,9929877
Ateles belzebuth,370251,9930277
Ateles belzebuth,370257,9930303
Ateles belzebuth,370262,9929864
Ateles belzebuth,370268,9930304
Ateles belzebuth,370278,9930087
Ateles belzebuth,370283,9930339
Ateles belzebuth,370300,9930345
Ateles belzebuth,370300,9930166
Ateles belzebuth,370300,9929503
Ateles belzebuth,370306,9930250
Ateles belzebuth,370310,9930349
Ateles belzebuth,370315,9930262
Ateles belzebuth,370320,9930234
Ateles belzebuth,370322,9929510
Ateles belzebuth,370323,9930294
Ateles belzebuth,370327,9930303
Ateles belzebuth,370329,9930292
Ateles belzebuth,370330,9930126
Ateles belzebuth,370330,9930218
Ateles belzebuth,370330,9929965
Ateles belzebuth,370335,9929567
Ateles belzebuth,370342,9929571
Ateles belzebuth,370346,9929568
Ateles belzebuth,370349,9930663
Ateles belzebuth,370352,9930262
Ateles belzebuth,370355,9930114
Ateles belzebuth,370355,9930238
Ateles belzebuth,370356,9929561
Ateles belzebuth,370358,9930482
Ateles belzebuth,370362,9929506
Ateles belzebuth,370378,9930169
Ateles belzebuth,370383,9930291
Ateles belzebuth,370384,9930339
Ateles belzebuth,370392,9930258
Ateles belzebuth,370393,9930314
Ateles belzebuth,370403,9930342
Ateles belzebuth,370406,9930293
Ateles belzebuth,370411,9930276
Ateles belzebuth,370415,9930266
Ateles belzebuth,370418,9930250
Ateles belzebuth,370424,9930161
Ateles belzebuth,370425,9930159
Ateles belzebuth,370431,9930306
Ateles belzebuth,370442,9929871
Ateles belzebuth,370444,9930259
Ateles belzebuth,370446,9930210
Ateles belzebuth,370451,9929868
Ateles belzebuth,370457,9930288
Ateles belzebuth,370465,9930220
Ateles belzebuth,370469,9930288
Ateles belzebuth,370485,9930275
Ateles belzebuth,370490,9930142
Ateles belzebuth,370491,9930390
Ateles belzebuth,370492,9930258
Ateles belzebuth,370508,9930310
Ateles belzebuth,370517,9930388
Ateles belzebuth,370518,9930306
Ateles belzebuth,370536,9930320
Ateles belzebuth,370538,9930179
Ateles belzebuth,370540,9930288
Ateles belzebuth,370542,9930288
Ateles belzebuth,370547,9930170
Ateles belzebuth,370548,9929828
Ateles belzebuth,370551,9930543
Ateles belzebuth,370562,9930469
Ateles belzebuth,370585,9929971
Ateles belzebuth,370588,9929973
Ateles belzebuth,370670,9929817
Ateles belzebuth,370672,9929816
Ateles belzebuth,370686,9929824
Ateles belzebuth,370692,9929818
Ateles belzebuth,370703,9929814
Ateles belzebuth,370714,9929516
Ateles belzebuth,370752,9929842
Ateles belzebuth,370753,9930717
Ateles belzebuth,370764,9929831
Ateles belzebuth,370773,9930510
Ateles belzebuth,370794,9930495
Ateles belzebuth,370799,9930504
Ateles belzebuth,370803,9929806
