id,phylo,age,tree,sex,DLM3L,DLM2L,DLM1L,DLP4L,DLM3AW,DLM2AW,MMC,Subfamily,PMM
B827,Chlorocebus_aethiops,extant,n,NA,6.561113,6.964432667,6.223548333,6.096121333,NA,5.613043,1.054239904,Cercopithecoid,1.142436688
B1044,Chlorocebus_aethiops,extant,n,M?,7.074861333,7.141816667,6.237181667,6.926422667,NA,5.768270333,1.134304196,Cercopithecoid,1.031097438
B1062,Chlorocebus_aethiops,extant,n,M?,NA,6.370940667,6.116883333,5.384905667,NA,5.345352,NA,Cercopithecoid,1.183110914
B1162,Chlorocebus_aethiops,extant,n,M?,6.481042,6.127261667,5.480693,4.994916333,NA,4.678492,1.182522356,Cercopithecoid,1.22669956
B1493,Chlorocebus_aethiops,extant,n,F?,6.417395667,6.688496667,6.272511,6.360082333,NA,NA,1.023098352,Cercopithecoid,1.051636805
B1494,Chlorocebus_aethiops,extant,n,M?,6.010705667,6.230224,5.595916333,6.102110333,NA,5.179224333,1.074123577,Cercopithecoid,1.020994977
B3512,Chlorocebus_aethiops,extant,n,NA,NA,7.064658333,6.651399333,NA,NA,5.465826667,NA,Cercopithecoid,NA
117267,Chlorocebus_aethiops,extant,n,F,5.500322,5.850075333,NA,NA,NA,4.865606667,NA,Cercopithecoid,NA
117269,Chlorocebus_aethiops,extant,n,F,5.724459333,5.867438333,5.482278333,5.032987333,NA,4.976717,1.044175247,Cercopithecoid,1.165796364
117270,Chlorocebus_aethiops,extant,n,F,5.225076,5.749137667,4.991036,5.039725667,NA,4.72717,1.046892068,Cercopithecoid,1.140764011
117271,Chlorocebus_aethiops,extant,n,F,5.207758667,5.259656667,NA,4.830174667,NA,4.764709667,NA,Cercopithecoid,1.088916453
118061,Chlorocebus_aethiops,extant,n,F,NA,7.264224333,6.31242,5.505960667,NA,5.862365667,NA,Cercopithecoid,1.319338218
183643,Chlorocebus_aethiops,extant,n,NA,5.342798667,5.86089,5.339908667,4.627600333,NA,4.900658333,1.000541208,Cercopithecoid,1.266507386
20812,Colobus_guereza,extant,y,M,9.768858333,8.05268,7.372494667,7.732750667,9.768858333,6.51153,1.325041085,Cercopithecoid,1.04137329
27710,Colobus_guereza,extant,y,M,9.367756,7.573529667,7.161619667,6.877044333,9.367756,NA,1.308049916,Cercopithecoid,1.101276842
27711,Colobus_guereza,extant,y,M,10.18091333,7.698919,7.327821333,7.049370667,10.18091333,6.365122667,1.38935065,Cercopithecoid,1.092142741
27712,Colobus_guereza,extant,y,F,9.978722,7.467876667,7.423530333,6.865634333,9.978722,6.272942,1.344201687,Cercopithecoid,1.087718382
27721,Colobus_guereza,extant,y,NA,9.631462667,7.580296,7.382964667,NA,9.631462667,6.103962667,1.304552182,Cercopithecoid,NA
33304,Colobus_guereza,extant,y,M,9.726927333,8.154978333,7.472650667,6.933129667,9.726927333,6.387232333,1.301670286,Cercopithecoid,1.17623335
33305,Colobus_guereza,extant,y,F,9.947116333,7.862442,7.221352667,7.487449,9.947116333,6.300906667,1.377458877,Cercopithecoid,1.050082879
33306,Colobus_guereza,extant,y,F,8.963945,7.242600667,7.048288667,6.215487667,8.963945,5.876311333,1.271790278,Cercopithecoid,1.165250589
33308,Colobus_guereza,extant,y,M,10.27033333,8.152611,7.422237,7.077165,10.27033333,6.364995333,1.38372479,Cercopithecoid,1.151960001
36378,Colobus_guereza,extant,y,NA,8.884974,7.739192333,6.953425,7.199806333,8.884974,6.143258,1.277783826,Cercopithecoid,1.074916737
36379,Colobus_guereza,extant,y,NA,9.252717333,7.705150333,7.264813667,7.040621,9.252717333,6.056973667,1.273634502,Cercopithecoid,1.094385045
36380,Colobus_guereza,extant,y,NA,9.656641667,7.519373,7.189043667,7.002139,9.656641667,6.194283667,1.343244264,Cercopithecoid,1.073867999
36381,Colobus_guereza,extant,y,NA,9.894789333,7.834886,7.233026,7.433239,9.894789333,6.599791667,1.36800135,Cercopithecoid,1.054033914
36382,Colobus_guereza,extant,y,NA,9.697293333,7.93384,7.246847,7.615852333,9.697293333,6.586131,1.338139653,Cercopithecoid,1.041753392
36383,Colobus_guereza,extant,y,NA,9.563173333,8.087316,7.368786667,7.555982667,9.563173333,NA,1.297794843,Cercopithecoid,1.070319554
52206,Colobus_guereza,extant,y,M,8.731895333,7.426119667,6.751918333,6.630029333,8.731895333,5.801079,1.293246586,Cercopithecoid,1.120073426
52208,Colobus_guereza,extant,y,M,9.334570667,7.434396333,6.993746667,7.526601,9.334570667,5.884762333,1.334702429,Cercopithecoid,0.987749494
52209,Colobus_guereza,extant,y,M,10.51947,7.238189333,6.992016333,6.980033667,10.51947,NA,1.504497344,Cercopithecoid,1.036984874
52210,Colobus_guereza,extant,y,M,9.784063333,7.606906667,7.003626,6.781254333,9.784063333,6.267370667,1.396999687,Cercopithecoid,1.121755105
52211,Colobus_guereza,extant,y,M,9.678304667,7.708737667,7.126448,6.891771333,9.678304667,5.986134,1.358082549,Cercopithecoid,1.118542287
52212,Colobus_guereza,extant,y,M,9.616191333,7.493555667,7.115497667,6.938231333,9.616191333,6.413182667,1.351443256,Cercopithecoid,1.080038313
52213,Colobus_guereza,extant,y,F,9.441545333,7.612576333,7.081392667,NA,9.441545333,NA,1.333289337,Cercopithecoid,NA
52216,Colobus_guereza,extant,y,M,8.923203,7.239724,6.398906,6.124018667,8.923203,NA,1.394488839,Cercopithecoid,1.182185162
52217,Colobus_guereza,extant,y,M,8.411678333,7.370622667,6.576593333,6.159435,8.411678333,6.421756667,1.279032762,Cercopithecoid,1.19663941
52221,Colobus_guereza,extant,y,F,8.787345333,7.348886,6.715779,6.913718333,8.787345333,NA,1.308462553,Cercopithecoid,1.062942638
52223,Colobus_guereza,extant,y,F,9.043798,7.358972667,6.666812667,6.725978667,9.043798,5.890258333,1.356539992,Cercopithecoid,1.094111806
