subject,parity,season,reprocondition,duration
Nina,P,WS,NONPOP,213.56
Nina,P,WS,POP,205.81
Nina,P,WS,NONPOP,293.71
Nina,P,WS,POP,268.76
Nina,P,WS,NONPOP,205.02
Nina,P,WS,POP,287.19
Nina,P,DS,NONPOP,260.68
Nina,P,DS,POP,280.1
Nina,P,DS,NONPOP,236.16
Nina,P,DS,POP,259.29
Nina,P,DS,NONPOP,183.6
Nina,P,DS,POP,238.7
Nina,P,DS,POP,219.62
Nina,P,DS,NONPOP,162.21
Maya,P,WS,NONPOP,239.58
Maya,P,WS,POP,244.38
Maya,P,WS,NONPOP,242.63
Maya,P,WS,POP,255.43
Maya,P,WS,NONPOP,269.86
Maya,P,WS,POP,270.9
Maya,P,DS,NONPOP,283.08
Maya,P,DS,POP,316.23
Maya,P,DS,NONPOP,236.67
Maya,P,DS,POP,262.24
Maya,P,DS,NONPOP,234.64
Maya,P,DS,POP,285.13
Maya,P,DS,POP,272.68
Maya,P,DS,NONPOP,193.29
Vita,N,WS,NONPOP,119.42
Vita,N,WS,POP,127.82
Vita,N,WS,NONPOP,231.05
Vita,N,WS,POP,123.31
Vita,N,WS,NONPOP,113.94
Vita,N,WS,POP,220.82
Vita,N,DS,NONPOP,198.9
Vita,N,DS,POP,163.89
Vita,N,DS,NONPOP,105.41
Vita,N,DS,POP,131.28
Vita,N,DS,NONPOP,122.82
Vita,N,DS,POP,140.39
Vita,N,DS,POP,148.2
Vita,N,DS,NONPOP,132.72
Sofia,N,WS,NONPOP,86.34
Sofia,N,WS,POP,107.47
Sofia,N,WS,NONPOP,90.29
Sofia,N,WS,POP,111.04
Sofia,N,WS,NONPOP,87.83
Sofia,N,WS,POP,114.29
Sofia,N,DS,NONPOP,101.79
Sofia,N,DS,POP,121.59
Sofia,N,DS,NONPOP,95.49
Sofia,N,DS,POP,112.5
Sofia,N,DS,NONPOP,113.14
Sofia,N,DS,POP,113.86
Sofia,N,DS,POP,129.5
Sofia,N,DS,NONPOP,108.39
Luna,P,WS,NONPOP,242.65
Luna,P,WS,POP,237.46
Luna,P,WS,NONPOP,246.59
Luna,P,WS,POP,266.02
Luna,P,WS,NONPOP,297.2
Luna,P,WS,POP,302.95
Luna,P,DS,NONPOP,251.22
Luna,P,DS,POP,304.02
Luna,P,DS,NONPOP,281.02
Luna,P,DS,POP,298.35
Luna,P,DS,NONPOP,212.47
Luna,P,DS,POP,233.37
Luna,P,DS,POP,285.42
Luna,P,DS,NONPOP,230.87
Nipa,N,WS,NONPOP,158.05
Nipa,N,WS,POP,191
Nipa,N,WS,NONPOP,143.82
Nipa,N,WS,POP,207.18
Nipa,N,WS,NONPOP,165.47
Nipa,N,WS,POP,189.81
Nipa,N,DS,NONPOP,215.82
Nipa,N,DS,POP,191.39
Nipa,N,DS,NONPOP,163.94
Nipa,N,DS,POP,162.46
Nipa,N,DS,NONPOP,154.78
Nipa,N,DS,POP,161.49
Nipa,N,DS,POP,170.92
Nipa,N,DS,NONPOP,155.84
