id,age,sex,femur length
1,inf,female,7.28
2,inf,male,6.3
3,inf,female,7.44
4,inf,male,8.69
5,inf,female,9.13
6,inf,male,9.28
7,inf,female,5.98
8,inf,female,8.93
9,inf,male,5.49
10,inf,male,7.79
11,inf,male,5.23
12,inf,male,8.44
13,inf,male,7.26
14,inf,female,8.63
15,inf,female,8.47
16,inf,male,5.24
17,inf,female,8.14
18,inf,male,7.9
19,inf,male,7.45
20,inf,female,6.1
21,inf,female,9.19
22,inf,female,6.67
23,inf,female,6.03
24,inf,male,7.24
25,inf,female,8.35
26,inf,male,9.13
27,inf,female,7.23
28,inf,female,8.02
29,inf,male,9.39
30,inf,male,8.07
31,inf,male,9.02
32,inf,female,9.85
33,inf,female,9.07
34,inf,female,7.85
35,inf,male,6.04
36,inf,female,7.23
37,inf,female,8.52
38,inf,female,9.97
39,inf,female,7.82
40,inf,female,8.25
41,inf,female,9.1
42,inf,female,8.54
43,inf,female,8.82
44,inf,male,7.3
45,inf,female,8.14
46,inf,male,6.49
47,inf,female,8.14
48,inf,male,7.07
49,inf,female,8.75
50,inf,female,8.99
51,inf,female,9.38
52,inf,male,4.7
53,inf,male,8.25
54,inf,male,9.4
55,inf,female,9.34
56,inf,male,8.15
57,inf,female,8.14
58,inf,female,7.63
59,inf,male,8.94
60,inf,male,10.17
61,inf,male,7.12
62,inf,female,5.66
63,inf,female,11
64,inf,male,8.42
65,inf,male,8.84
66,inf,male,8.76
67,inf,female,9.08
68,inf,male,10.49
69,inf,female,7.64
70,inf,female,8.76
71,inf,male,6.58
72,inf,female,5.41
73,inf,female,6.51
74,inf,female,7.95
75,inf,female,8.12
76,inf,female,6.6
77,inf,female,7.62
78,inf,male,5.73
79,inf,male,8.68
80,inf,female,9.98
81,inf,male,6.63
82,inf,female,9.82
83,inf,male,5.16
84,inf,male,8.79
85,inf,male,7
86,inf,female,8.02
87,inf,male,8.62
88,inf,male,7.21
89,inf,female,5.03
90,inf,female,6.4
91,inf,female,6.93
92,inf,female,9.75
93,inf,male,8.09
94,inf,male,9.62
95,inf,male,6.89
96,inf,female,7.07
97,inf,male,4.45
98,inf,male,7.84
99,inf,female,6.57
100,inf,female,7.47
101,inf,female,6.79
102,inf,female,6.78
103,inf,male,9.87
104,inf,female,7.15
105,inf,male,9.07
106,inf,female,6.79
107,inf,male,9.1
108,inf,female,8.85
109,inf,male,6.84
110,inf,female,8.05
111,inf,male,7.99
112,inf,female,7.34
113,inf,male,7.23
114,inf,male,6.36
115,inf,male,5.53
116,inf,female,7.48
117,inf,female,9.03
118,inf,female,7.2
119,inf,female,7.79
120,inf,male,8.03
121,inf,female,6.9
122,inf,male,6.73
123,inf,male,6.16
124,inf,female,8
125,inf,female,8.02
126,inf,female,6.41
127,inf,female,9.73
128,inf,male,7.92
129,inf,female,7.99
130,inf,male,7.22
131,inf,male,7.42
132,inf,male,8.26
133,inf,female,4.81
134,inf,male,8.27
135,inf,female,9.52
136,inf,female,8.49
137,inf,male,6.47
138,inf,male,8.29
139,inf,female,6.94
140,inf,male,7.51
141,inf,male,7.43
142,inf,female,8.47
143,inf,male,5.51
144,inf,female,8.46
145,inf,male,7.2
146,inf,female,5.57
147,inf,male,8.25
148,inf,female,6.33
149,inf,female,7.32
150,inf,male,8.11
151,inf,male,7.13
152,inf,female,7.7
153,inf,female,8.34
154,inf,male,6.87
155,inf,male,8.48
156,inf,female,7.77
157,inf,female,6.77
158,inf,female,5.48
159,inf,male,8.34
160,inf,female,7.95
161,inf,male,7.03
162,inf,female,9.78
163,inf,male,6.58
164,inf,female,7.65
165,inf,male,6.37
166,inf,female,9.64
167,inf,female,6.54
168,inf,female,6.86
169,inf,female,8.32
170,inf,male,6.27
171,inf,male,8.35
172,inf,male,9.6
173,inf,male,6.6
174,inf,female,8.25
175,inf,male,8.85
176,inf,male,8.96
177,inf,male,7.88
178,inf,female,7.02
179,inf,female,8.45
180,inf,female,7.73
181,inf,female,7.15
182,inf,female,6.92
183,inf,male,8.52
184,inf,male,6.4
185,inf,male,6.73
186,inf,male,8.24
187,inf,male,8.45
188,inf,male,7.1
189,inf,female,5.71
190,inf,female,8.44
191,inf,female,7.96
192,inf,male,5.92
193,inf,male,10.44
194,inf,male,8.24
195,inf,male,8.28
196,inf,male,6.55
197,inf,male,7.1
198,inf,female,8.83
199,inf,male,5.1
200,inf,male,7.61
201,juv,male,10.02
202,juv,female,10.72
203,juv,male,9.22
204,juv,female,11.18
205,juv,male,10.96
206,juv,female,10.96
207,juv,female,10.63
208,juv,female,12.47
209,juv,female,10.25
210,juv,female,8
211,juv,male,11.56
212,juv,male,12.91
213,juv,female,8.46
214,juv,male,8.52
215,juv,female,11.38
216,juv,female,10.59
217,juv,male,7.04
218,juv,male,10.96
219,juv,male,10.23
220,juv,female,10.11
221,juv,female,10.66
222,juv,female,8.33
223,juv,female,9.3
224,juv,male,9.49
225,juv,male,8.88
226,juv,female,11
227,juv,male,10.81
228,juv,female,10.17
229,juv,male,7.83
230,juv,male,10.65
231,juv,female,11.83
232,juv,female,9.59
233,juv,female,11.74
234,juv,male,13.25
235,juv,female,10.86
236,juv,female,9.48
237,juv,male,9.18
238,juv,male,8.47
239,juv,female,5.5
240,juv,female,7.98
241,juv,male,10.37
242,juv,male,11.47
243,juv,female,11
244,juv,male,11.89
245,juv,male,8.97
246,juv,male,11.4
247,juv,female,9.04
248,juv,male,10.72
249,juv,male,7.32
250,juv,female,9.68
251,juv,female,9.49
252,juv,female,10.97
253,juv,male,9.42
254,juv,female,11.13
255,juv,male,10.85
256,juv,female,9.41
257,juv,female,8.27
258,juv,female,10.51
259,juv,female,11.04
260,juv,female,13.89
261,juv,female,12.04
262,juv,male,10.71
263,juv,female,7.32
264,juv,female,10.68
265,juv,female,11.07
266,juv,male,11.13
267,juv,male,10.46
268,juv,male,10.21
269,juv,male,8.94
270,juv,male,11.87
271,juv,female,8.72
272,juv,female,6.66
273,juv,female,10.48
274,juv,female,8.82
275,juv,male,10.08
276,juv,female,10.16
277,juv,male,9.84
278,juv,male,10.96
279,juv,female,8.85
280,juv,male,11.83
281,juv,female,11.5
282,juv,male,9.81
283,juv,male,9.04
284,juv,male,8.34
285,juv,male,12.77
286,juv,male,12.6
287,juv,male,11.53
288,juv,male,7.7
289,juv,male,8.56
290,juv,male,11.27
291,juv,female,10.2
292,juv,female,11.33
293,juv,female,8.31
294,juv,female,7.97
295,juv,male,9.15
296,juv,male,9.17
297,juv,female,8.5
298,juv,female,9.03
299,juv,female,10.56
300,juv,male,12.13
301,juv,female,10.83
302,juv,female,9.15
303,juv,female,10.2
304,juv,male,9.2
305,juv,male,12.9
306,juv,female,8.84
307,juv,female,11.85
308,juv,male,9.92
309,juv,male,11.51
310,juv,female,10.74
311,juv,female,11.52
312,juv,female,8.27
313,juv,female,8
314,juv,female,8.52
315,juv,male,10.13
316,juv,male,8.25
317,juv,female,10.15
318,juv,male,8.8
319,juv,female,11.68
320,juv,female,10.68
321,juv,female,11.33
322,juv,male,12.34
323,juv,female,11.45
324,juv,male,10.65
325,juv,male,8.86
326,juv,male,9.03
