Mus,Loc,Sp _,Genus,Genus (2),Taxon,Side,LM,TD,TI,TP,LL,WD,WI,LI,Notes,Prin Comp 1,Prin Comp 2,Prin Comp 3
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR-121-2193 (1941),Aepycamelus,Aepycamelus,Aepycamelus major,R,95.13,39.9,54.34,45.32,105.67,69.38,74.5,80.24,,4.726898397,0.082694289,0.112492585
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 28 #489 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,95.25,38.22,54.65,45.25,105.2,69.73,75.04,80.36,Two right and two left with Same Field No,4.664651303,-0.161476329,0.065658838
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR-152-2490 (1942),Aepycamelus,Aepycamelus,Aepycamelus major,R,100.35,39.63,54.86,44.27,109.1,69.83,72.23,83.84,,4.882082303,-0.05180152,0.170526715
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR-146-2450 (1942),Aepycamelus,Aepycamelus,Aepycamelus major,R,98.09,39.9,53.26,42.44,105.57,73.83,76.32,82.74,,4.828685349,0.029193873,-0.323384617
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 30 #535 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,94.1,40.75,51.95,42.16,101.15,67.47,68.25,80.41,Two with Same Field No,4.2324179,0.363558208,0.144640936
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 2 #31 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,90.31,34.36,47.68,40.34,100.38,67.74,70.37,78.14,Three with Same Field No,3.570367377,-0.455573354,-0.233286998
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 53 #974 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,88.43,33.71,47.79,40.48,93.67,58.58,56.46,74.59,Two Right and three left  with Same Field No,2.71686344,-0.271681415,0.624300136
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR-206-3022 (1942),Aepycamelus,Aepycamelus,Aepycamelus major,R,96.39,38.85,51.82,40.92,106.47,68.88,69.89,83.12,,4.349748484,-0.004614344,-0.044468889
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 28 #489 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,93.09,40.36,49.54,40.12,100.23,68.15,67.76,80.78,Two right and two left with Same Field No,4.005585621,0.35753491,-0.061156935
AMNH,"""""Alachula Clays"""" Mixon's Bone Bed, Levy Co., FL",FLOR 2 #31 (1940),Aepycamelus,Aepycamelus,Aepycamelus major,R,89.62,43.49,48.04,38.65,97.83,63.67,62.02,75.68,Three with Same Field No,3.564558525,1.028860746,0.167902647
