State,Ag,Mining,Constr,Manuf,Manuf_nd,Transp,Comm,Energy,TradeW,TradeR,RE,Services,Govt
AL,2,1.5,4.1999998,10.5,11.8,2.9000001,2.9000001,3.5999999,6.3000002,9.8999996,12.8,16.1,15.5
AK,1.5,22.4,4.0999999,1.1,3.7,12.1,2,1.5,2.9000001,6.5,10.7,11.9,19.6
AZ,1.7,1.3,5.8000002,11.5,3,2.8,2.2,2.7,6.3000002,10.5,18.9,20.200001,13
AR,5.0999999,1,4,12.8,11.8,4.4000001,2.4000001,4.1999998,6.0999999,10.2,11.4,14.8,11.8
CA,2.0999999,0.60000002,3.3,9,5,2.5999999,2.5,1.8,6.8000002,8.8999996,22.700001,23.1,11.5
CO,1.8,1.7,5.4000001,7.6999998,4.5,3.3,5.6999998,2.2,6.3000002,9.6999998,17,21.6,13.1
CT,0.69999999,0,3.3,11,5.6999998,1.8,2.3,2.2,6.5999999,7.4000001,28.200001,21.799999,9
DE,1,0,3.4000001,4.5,16.6,1.6,1.3,2.4000001,4,6,35.400002,14.3,9.3999996
FL,1.8,0.2,4.6999998,4.5999999,3.5,3.0999999,3,2.8,7.3000002,11.2,21.799999,23.4,12.4
GA,1.8,0.40000001,3.9000001,7.4000001,10.7,4,4.5,2.7,8.8000002,8.8999996,16.4,18,12.5
HI,1.2,0.1,4.8000002,0.80000001,2.3,4.5,3.0999999,2.7,4,11.5,21.4,22.200001,21.299999
ID,6.3000002,0.60000002,5.9000001,15,5.5999999,3.5,1.6,3.7,6.0999999,9.8999996,12.3,16.299999,13.2
IL,1.4,0.30000001,4.1999998,11.3,7.9000001,3.8,2.3,3.0999999,7.6999998,8.1000004,19.200001,20.700001,10
IN,1.8,0.5,4.5999999,21.4,10.3,3.5,1.4,3.0999999,6,9.1000004,13.1,15.3,9.8000002
IA,7.5999999,0.2,4.0999999,13.2,10.8,3.3,2,2.8,6.8000002,8.3000002,14.3,15.3,11.4
KS,4.4000001,1.4,4.1999998,10.4,7.9000001,3.9000001,3.5999999,3.4000001,7.8000002,9.6000004,12.7,16.700001,14.1
KY,2.5999999,2.5999999,3.9000001,14.9,13.2,3.9000001,1.5,2.9000001,5.8000002,8.8999996,11.2,15,13.6
LA,1.2,14.8,4.1999998,3.7,15.3,3.3,1.9,3.5999999,5.3000002,7.8000002,12.1,15.7,10.9
ME,1.8,0.1,4.5,7.9000001,10.6,2.3,2,3.0999999,6,11.1,18.5,18.700001,13.5
MD,0.89999998,0.1,5,4.0999999,4.5,2.0999999,2.9000001,2.9000001,6.3000002,8.6999998,21.4,23.200001,17.799999
MA,0.60000002,0.1,3.2,10.5,4.9000001,2,1.9,2.5,7.0999999,7.8000002,24.4,25.799999,9.1999998
MI,1,0.40000001,3.8,20,7.1999998,2.4000001,1.6,2.7,7.1999998,8.8999996,15.8,18.5,10.5
MN,2.9000001,0.60000002,4.4000001,11,8.1999998,3.7,1.9,2.0999999,8.3000002,8.6999998,17.9,19.5,10.9
MS,3.2,0.89999998,3.9000001,13,10.5,3.2,2.4000001,5.0999999,5.5999999,10,11.5,16,14.9
MO,1.8,0.40000001,4.5999999,11.3,10.1,4,3.5,2.8,7.3000002,9.1000004,14.7,19.1,11.2
MT,5.0999999,4.9000001,4.8000002,4.4000001,3.3,5.4000001,2.0999999,5,6.4000001,9.8999996,13.4,19.200001,15.9
NE,9.1999998,0.2,4.4000001,7,7.0999999,6.8000002,2.0999999,1.4,7.4000001,8.3000002,14.8,17.1,14.1
NV,0.80000001,3.7,8.3999996,3.0999999,1.7,2.9000001,1.8,3,4.5999999,9.3999996,18.4,32.299999,9.8999996
NH,0.69999999,0.1,3.5,16.4,5.6999998,1.5,1.7,4.4000001,6.1999998,9.1000004,22.200001,19.4,9.1000004
NJ,0.60000002,0,3.5,4.3000002,9.3999996,3.2,4.0999999,2.7,9.1000004,7.3000002,23.200001,21.799999,10.8
NM,1.9,7.0999999,4.5999999,14.4,2.0999999,2.5,1.7,3.5,4.3000002,8.8999996,13.9,17.5,17.700001
NY,0.5,0.1,2.9000001,5.9000001,5.9000001,2.0999999,3.5999999,2.4000001,6.1999998,6.9000001,29.700001,22.9,11.1
NC,2.3,0.1,4.1999998,10.2,16.700001,2.8,2,3,6.4000001,8.8999996,14.6,15.4,13.2
ND,10.6,3.0999999,4.9000001,4.5999999,2.9000001,4.9000001,1.9,4,8.8000002,9.1000004,12.7,17.5,15.1
OH,1.1,0.40000001,3.9000001,17.9,9.3000002,2.9000001,1.9,3,7.0999999,9.1999998,15.3,17.700001,10.5
OK,2.0999999,5.3000002,3.2,10.2,7.0999999,3.7,2.8,3.5,6.0999999,10,12.5,17.4,16.200001
OR,3,0.1,5.4000001,16,4.5,3.4000001,1.9,2.5,8,8.6999998,16.299999,18.299999,11.9
