State,Murder,Assault,UrbanPop,Burglary
Alabama,13.2,236,58,148.4
Alaska,10,263,48,311.5
Arizona,8.1,294,80,217
Arkansas,8.8,190,50,136.5
California,9,276,91,284.2
Colorado,7.9,204,78,270.9
Connecticut,3.3,110,77,77.7
Delaware,5.9,238,72,110.6
Florida,15.4,335,80,223.3
Georgia,17.4,211,60,180.6
Hawaii,5.3,46,83,141.4
Idaho,2.6,120,54,99.4
Illinois,10.4,249,83,168
Indiana,7.2,113,65,147
Iowa,2.2,56,57,79.1
Kansas,6,115,66,126
Kentucky,9.7,109,52,114.1
Louisiana,15.4,249,66,155.4
Maine,2.1,83,51,54.6
Maryland,11.3,300,67,194.6
Massachusetts,4.4,149,85,114.1
Michigan,12.1,255,74,245.7
Minnesota,2.7,72,66,104.3
Mississippi,16.1,259,44,119.7
Missouri,9,178,70,197.4
Montana,6,109,53,114.8
Nebraska,4.3,102,62,115.5
Nevada,12.2,252,81,322
New Hampshire,2.1,57,56,66.5
New Jersey,7.4,159,89,131.6
New Mexico,11.4,285,70,224.7
New York,11.1,254,86,182.7
North Carolina,13,337,45,112.7
North Dakota,0.8,45,44,51.1
Ohio,7.3,120,75,149.8
Oklahoma,6.6,151,68,140
Oregon,4.9,159,67,205.1
Pennsylvania,6.3,106,72,104.3
Rhode Island,3.4,174,87,58.1
South Carolina,14.4,279,48,157.5
South Dakota,3.8,86,45,89.6
Tennessee,13.2,188,59,188.3
Texas,12.7,201,80,178.5
Utah,3.2,120,80,160.3
Vermont,2.2,48,32,78.4
Virginia,8.5,156,63,144.9
Washington,4,145,73,183.4
West Virginia,5.7,81,39,65.1
Wisconsin,2.6,53,66,75.6
Wyoming,6.8,161,60,109.2
