Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Microcebus_myoxinus,Cheirogalidae,Microcebus,myoxinus,,,,31,30,1.033,Smith and Jungers 1997,1,1,1,,Kappeler 1997,,59.99,,,2,Jones et al. 2009,-20.08,822.6,24.8,930,1566,Jones et al. 2009,,,,,,,,,,,,,,,,
Microcebus_rufus,Cheirogalidae,Microcebus,rufus,1.72,1.8,Isler et al 2008,43,42,1.024,Isler et al 2008,1,1,1,,Kappeler 1997,,61,40,144,2.52,Jones et al. 2009,-19.32,1714.4,20,1319.6,1595.2,Jones et al. 2009,0.01,Jones et al. 2009,,,,,,,,0.939,Plavcan & Ruff 2008,,,,,
Microcebus_murinus,Cheirogalidae,Microcebus,murinus,1.63,1.66,Isler et al 2008,63,67.2,0.938,Isler et al 2008,1,1,1,,Kappeler 1997,365,61,40.45,186,2,Jones et al. 2009,-18.95,851.2,24.1,897.1,1624.7,Jones et al. 2009,0.01,Jones et al. 2009,,,,51,,,,0.995,Plavcan & Ruff 2008,,,,,
Galagoides_demidoff,Galagidae,Galagoides,demidoff,2.65,2.66,Isler et al 2008,76.2,73.1,1.042,Isler et al 2008,10,,,,van Schaik et al. 1999,365,111,43.47,168,1.29,Jones et al. 2009,-0.14,1404.3,24.4,1291.4,1553.2,Jones et al. 2009,0.01,Jones et al. 2009,,,,10,0,,,1.277,Plavcan & Ruff 2008,,,,,
Allocebus_trichotis,Cercopithecidae,Allocebus,trichotis,,,,92,84,1.095,Smith and Jungers 1997,1,1,1,,Kappeler 1997,,,,,1,,-16.59,1902.3,20.3,1388.2,1653.7,Jones et al. 2009,,,,,,,,,,,,,,,,
Callithrix_pygmaea,Cebidae,Callithrix,pygmaea,4.17,4.33,Isler et al 2008,110,122,0.902,Isler et al 2008,2,1.5,1,0.67,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,182.5,125,90.73,181.2,1.93,Jones et al. 2009,-5.96,2085.3,25.6,1483.2,1526.1,Jones et al. 2009,0.002,Jones et al. 2009,0.29,Nunn et al. 2003,5.5846,,,,,1.034,Plavcan & Ruff 2008,,,,,
Tarsius_bancanus,Tarsiidae,Tarsius,bancanus,3.16,3.17,Isler et al 2008,128,123,1.041,Isler et al 2008,,,,,,240.29,178,78.55,144,1,Jones et al. 2009,0.56,2563.9,24.7,1702.8,1734.7,Jones et al. 2009,0.04,Campbell et al. 2007,1.8,Pontzer and Kamilar 2006,7.976,,,,,,,,,,,
Tarsius_syrichta,Tarsiidae,Tarsius,syrichta,3.36,3.27,Isler et al 2008,134,117,1.145,Isler et al 2008,,,,,,,179,82.49,180,1.01,Jones et al. 2009,9.07,1831,24.1,1565.2,1739.4,Jones et al. 2009,0.048,Campbell et al. 2007,1.38,Campbell et al. 2007,5.5822,,,,,,,,,,,
Cheirogaleus_medius,Cheirogalidae,Cheirogaleus,medius,2.6,2.6,Isler et al 2008,140,139,1.007,Isler et al 2008,1,1,1,,Kappeler 1997,365,61,60.65,231.6,2.04,Jones et al. 2009,-19.03,850.8,24,899.7,1625.8,Jones et al. 2009,0.02,Jones et al. 2009,,,,,,,,0.942,Plavcan & Ruff 2008,,,,,
Galagoides_zanzibaricus,Galagidae,Galagoides,zanzibaricus,3.51,3.75,Isler et al 2008,149,137,1.088,Isler et al 2008,,,,,,182.5,120,59.27,,1.3,Jones et al. 2009,-11.84,760,24,888.6,1571,Jones et al. 2009,0.01,Jones et al. 2009,1.76,Pontzer and Kamilar 2006,15.5976,,,,,1.106,Plavcan & Ruff 2008,,,,,
