Scientific_Name,Family,Genus,Brain_Size_Female_Mean,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,HomeRange_km2
Microcebus_rufus,Cheirogalidae,Microcebus,1.8,43,42,1.024,0.01
Microcebus_murinus,Cheirogalidae,Microcebus,1.66,63,67.2,0.938,0.01
Galagoides_demidoff,Galagidae,Galagoides,2.66,76.2,73.1,1.042,0.01
Callithrix_pygmaea,Cebidae,Callithrix,4.33,110,122,0.902,0.002
Tarsius_bancanus,Tarsiidae,Tarsius,3.17,128,123,1.041,0.04
Tarsius_syrichta,Tarsiidae,Tarsius,3.27,134,117,1.145,0.048
Cheirogaleus_medius,Cheirogalidae,Cheirogaleus,2.6,140,139,1.007,0.02
Galagoides_zanzibaricus,Galagidae,Galagoides,3.75,149,137,1.088,0.01
Galago_moholi,Galagidae,Galago,3.64,149.6,147.2,1.017,0.04
Loris_tardigradus,Lorisidae,Loris,5.93,192,193,0.995,0.007
Galago_senegalensis,Galagidae,Galago,3.9,200.3,188,1.066,0.08
Galago_matschiei,Galagidae,Galago,4.43,207,212,0.976,
Loris_lydekkerianus,Lorisidae,Loris,6.53,264,269,0.981,
Euoticus_elegantulus,Lorisidae,Euoticus,5.48,287,261,1.1,
Mirza_coquereli,Cheirogalidae,Mirza,5.23,311,312,0.997,0.03
Arctocebus_calabarensis,Lorisidae,Arctocebus,6.53,312,306,1.02,
Callithrix_jacchus,Cebidae,Callithrix,7.05,318,322,0.988,0.02
Phaner_furcifer,Cheirogalidae,Phaner,6.78,328,350,0.937,0.02
Callithrix_argentata,Cebidae,Callithrix,8.36,330,360,0.917,
Callithrix_penicillata,Cebidae,Callithrix,7.38,343.8,311.7,1.103,0.01
Callithrix_humeralifera,Cebidae,Callithrix,8.2,360,380,0.947,0.1
Saguinus_niger,Cebidae,Saguinus,9.62,380,370,1.027,
Saguinus_fuscicollis,Cebidae,Saguinus,8.03,404.6,396.6,1.02,0.2
Saguinus_oedipus,Cebidae,Saguinus,9.92,416.6,445.1,0.936,0.06
Cheirogaleus_major,Cheirogalidae,Cheirogaleus,5.63,438,362,1.21,0.02
Callimico_goeldii,Cebidae,Callimico,11.9,499,468,1.066,0.32
Saguinus_geoffroyi,Cebidae,Saguinus,10.19,499.3,534.4,0.934,0.16
Saguinus_leucopus,Cebidae,Saguinus,9.61,510,539,0.946,
Saguinus_midas,Cebidae,Saguinus,9.98,535,591,0.905,0.05
Leontopithecus_chrysomelas,Cebidae,Leontopithecus,11.86,610,700,0.871,0.24
Lepilemur_leucopus,Lepilemuridae,Lepilemur,6.8,617,594,1.039,0.002
Leontopithecus_rosalia,Cebidae,Leontopithecus,12.67,620,598,1.037,0.26
Saguinus_mystax,Cebidae,Saguinus,10.99,629.3,538,1.17,0.21
Nycticebus_coucang,Lorisidae,Nycticebus,9.54,679,626,1.085,
