Year_AD,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb
120,9079,36,22,12,117,122,19,131,11
130,10145,71,35,19,173,6,50,218,50
140,8908,63,27,19,165,8,49,197,42
150,8849,50,27,16,165,4,49,222,39
160,8842,59,30,20,171,3,52,208,39
170,9033,49,16,21,165,7,46,195,44
180,8629,51,24,20,155,4,47,194,38
190,11803,46,41,26,176,32,33,201,21
200,10120,42,19,25,144,27,36,199,17
210,9582,65,29,18,179,2,54,206,48
220,10559,42,33,16,155,28,32,208,20
230,11963,66,29,22,158,30,35,209,19
240,9101,57,24,14,169,3,49,210,43
250,12115,45,28,27,165,29,34,217,20
260,9233,63,26,12,169,7,50,207,41
270,10550,67,33,21,192,5,48,221,47
280,21769,307,43,26,239,4,134,1055,100
290,10043,52,29,16,130,135,26,145,12
300,10540,83,35,21,187,6,59,219,46
310,10851,48,28,22,152,30,34,192,20
320,8826,53,22,21,170,6,50,202,43
330,10219,52,29,23,144,26,34,196,21
340,8768,53,15,12,122,118,20,134,14
350,8911,52,24,22,162,3,50,192,41
360,3877,24,19,8,99,22,13,58,11
370,8618,37,24,21,161,3,53,194,42
380,8505,48,17,18,147,6,49,184,35
390,8538,52,16,16,151,5,48,190,36
400,9026,54,24,18,163,6,51,193,43
410,8975,55,29,18,168,5,51,199,41
420,10103,37,29,21,144,28,37,188,18
430,10412,38,32,21,152,32,37,190,20
440,10425,70,42,23,190,8,56,216,48
450,8414,60,32,19,172,6,48,197,42
460,8450,57,24,16,153,6,49,197,38
470,8483,62,22,15,156,7,51,186,41
480,8064,54,26,19,149,6,48,180,41
490,8469,48,31,13,116,120,24,130,13
500,8342,38,23,16,125,25,32,168,17
510,8941,50,25,15,150,6,46,188,40
520,9421,66,36,19,173,8,51,202,46
530,13142,72,41,19,173,33,30,204,16
540,13621,95,37,22,173,36,45,209,18
550,13611,73,43,25,163,33,37,226,20
560,13974,67,40,14,170,42,36,205,20
570,13926,201,33,21,176,32,38,219,24
580,9771,55,24,16,128,27,34,189,14
590,12787,93,39,12,158,149,21,163,12
600,13459,91,42,22,171,32,32,200,18
610,12672,81,35,33,166,36,35,215,19
620,14659,73,44,24,181,39,37,220,23
630,12998,78,31,21,175,38,34,217,17
640,14028,75,32,12,155,27,39,208,21
650,8266,54,20,13,152,4,44,183,40
660,9465,59,29,18,172,4,47,208,41
670,8517,54,23,18,157,1,50,192,38
680,8117,53,24,13,147,9,23,120,14
690,8854,74,32,16,163,6,46,204,44
700,9467,56,25,15,182,4,51,220,45
710,10873,80,26,17,186,8,58,222,46
720,12388,92,36,22,185,6,51,218,39
730,10546,48,27,13,142,134,24,155,14
740,10115,29,26,18,144,22,28,196,19
750,7893,51,16,11,149,3,45,179,40
760,7749,40,15,12,131,2,47,175,33
770,8141,42,29,11,152,6,50,188,38
